GEOID,NAME,UATYPE,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                                      
00037,"Abbeville, LA Urban Cluster",C,29222877,300497,11.283,0.116,29.967602,-92.098219                                                                                                    
00064,"Abbeville, SC Urban Cluster",C,11279135,19786,4.355,0.008,34.179237,-82.379726                                                                                                     
00091,"Abbotsford, WI Urban Cluster",C,5363428,13221,2.071,0.005,44.948612,-90.315875                                                                                                     
00118,"Aberdeen, MS Urban Cluster",C,7416537,52820,2.864,0.020,33.824742,-88.554591                                                                                                       
00145,"Aberdeen, SD Urban Cluster",C,33124154,120864,12.789,0.047,45.463186,-98.471033                                                                                                     
00172,"Aberdeen, WA Urban Cluster",C,39997945,1929686,15.443,0.745,46.976365,-123.796056                                                                                                    
00199,"Aberdeen--Bel Air South--Bel Air North, MD Urbanized Area",U,339644490,9820040,131.137,3.792,39.508976,-76.303431                                                                    
00226,"Abernathy, TX Urban Cluster",C,3051109,12572,1.178,0.005,33.830523,-101.846278                                                                                                      
00253,"Abilene, KS Urban Cluster",C,8773263,1877,3.387,0.001,38.921060,-97.220754                                                                                                         
00280,"Abilene, TX Urbanized Area",U,141756046,988193,54.732,0.382,32.428784,-99.747194                                                                                                    
00334,"Abingdon, IL Urban Cluster",C,3739681,0,1.444,0.000,40.804175,-90.401522                                                                                                           
00388,"Ada, OH Urban Cluster",C,4769036,0,1.841,0.000,40.767274,-83.824641                                                                                                                
00415,"Ada, OK Urban Cluster",C,30913550,89141,11.936,0.034,34.774803,-96.669103                                                                                                           
00450,"Adams, NY Urban Cluster",C,5106272,13914,1.972,0.005,43.808664,-76.021178                                                                                                          
00469,"Adel, GA Urban Cluster",C,15635039,203872,6.037,0.079,31.145731,-83.429099                                                                                                         
00496,"Adel, IA Urban Cluster",C,4603619,0,1.777,0.000,41.612208,-94.021014                                                                                                               
00550,"Adjuntas, PR Urban Cluster",C,20440942,156185,7.892,0.060,18.166604,-66.729934                                                                                                     
00577,"Adrian, MI Urban Cluster",C,62207991,614837,24.019,0.237,41.914086,-84.049778                                                                                                       
00604,"Agat, GU Urban Cluster",C,12594770,2939,4.863,0.001,13.391079,+144.669530                                                                                                           
00631,"Aguadilla--Isabela--San Sebastián, PR Urbanized Area",U,619708739,900685,239.271,0.348,18.369286,-67.040259                                                                          
00658,"Ahoskie, NC Urban Cluster",C,7548521,0,2.915,0.000,36.287867,-76.983286                                                                                                            
00676,"Air Force Academy, CO Urban Cluster",C,6458441,0,2.494,0.000,38.985935,-104.858324                                                                                                  
00712,"Ajo, AZ Urban Cluster",C,6906092,0,2.666,0.000,32.388730,-112.868913                                                                                                                
00739,"Akron, NY Urban Cluster",C,6779977,0,2.618,0.000,43.020471,-78.493346                                                                                                              
00766,"Akron, OH Urbanized Area",U,842772202,17392050,325.396,6.715,41.066225,-81.491897                                                                                                    
00793,"Alachua, FL Urban Cluster",C,9784567,31222,3.778,0.012,29.791333,-82.507859                                                                                                        
00820,"Alamogordo, NM Urban Cluster",C,42853752,54188,16.546,0.021,32.902756,-105.949613                                                                                                    
00847,"Alamosa, CO Urban Cluster",C,18868506,39885,7.285,0.015,37.459931,-105.872135                                                                                                       
00901,"Albany, GA Urbanized Area",U,183487055,2790569,70.845,1.077,31.591097,-84.168827                                                                                                    
00921,"Albany, MN Urban Cluster",C,4337324,285660,1.675,0.110,45.630888,-94.569355                                                                                                        
00955,"Albany, OR Urbanized Area",U,61926121,299239,23.910,0.116,44.630090,-123.090051                                                                                                      
00970,"Albany--Schenectady, NY Urbanized Area",U,765959591,16263450,295.739,6.279,42.746355,-73.800509                                                                                      
00982,"Albemarle, NC Urban Cluster",C,44444668,63396,17.160,0.024,35.375322,-80.189318                                                                                                     
01009,"Albert Lea, MN Urban Cluster",C,25515202,1396609,9.851,0.539,43.656119,-93.379007                                                                                                  
01036,"Albertville, AL Urban Cluster",C,92829225,5174684,35.842,1.998,34.268074,-86.223507                                                                                                 
01063,"Albia, IA Urban Cluster",C,5597702,0,2.161,0.000,41.027003,-92.805176                                                                                                              
01090,"Albion, MI Urban Cluster",C,17102252,135557,6.603,0.052,42.252722,-84.755330                                                                                                       
01117,"Albion, NY Urban Cluster",C,7638278,0,2.949,0.000,43.245788,-78.193603                                                                                                             
01144,"Albion, PA Urban Cluster",C,7434014,56074,2.870,0.022,41.890344,-80.355166                                                                                                         
01171,"Albuquerque, NM Urbanized Area",U,648932830,8958562,250.554,3.459,35.141344,-106.628890                                                                                               
01198,"Alderson, WV Urban Cluster",C,3439375,92304,1.328,0.036,37.727925,-80.649268                                                                                                       
