GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - 12:00 a.m. to 4:59 a.m.,Margin of Error; Total: - 12:00 a.m. to 4:59 a.m.,Estimate; Total: - 5:00 a.m. to 5:29 a.m.,Margin of Error; Total: - 5:00 a.m. to 5:29 a.m.,Estimate; Total: - 5:30 a.m. to 5:59 a.m.,Margin of Error; Total: - 5:30 a.m. to 5:59 a.m.,Estimate; Total: - 6:00 a.m. to 6:29 a.m.,Margin of Error; Total: - 6:00 a.m. to 6:29 a.m.,Estimate; Total: - 6:30 a.m. to 6:59 a.m.,Margin of Error; Total: - 6:30 a.m. to 6:59 a.m.,Estimate; Total: - 7:00 a.m. to 7:29 a.m.,Margin of Error; Total: - 7:00 a.m. to 7:29 a.m.,Estimate; Total: - 7:30 a.m. to 7:59 a.m.,Margin of Error; Total: - 7:30 a.m. to 7:59 a.m.,Estimate; Total: - 8:00 a.m. to 8:29 a.m.,Margin of Error; Total: - 8:00 a.m. to 8:29 a.m.,Estimate; Total: - 8:30 a.m. to 8:59 a.m.,Margin of Error; Total: - 8:30 a.m. to 8:59 a.m.,Estimate; Total: - 9:00 a.m. to 9:59 a.m.,Margin of Error; Total: - 9:00 a.m. to 9:59 a.m.,Estimate; Total: - 10:00 a.m. to 10:59 a.m.,Margin of Error; Total: - 10:00 a.m. to 10:59 a.m.,Estimate; Total: - 11:00 a.m. to 11:59 a.m.,Margin of Error; Total: - 11:00 a.m. to 11:59 a.m.,Estimate; Total: - 12:00 p.m. to 3:59 p.m.,Margin of Error; Total: - 12:00 p.m. to 3:59 p.m.,Estimate; Total: - 4:00 p.m. to 11:59 p.m.,Margin of Error; Total: - 4:00 p.m. to 11:59 p.m.
310M100US10020,10020,"Abbeville, LA Micro Area",23596,645,1610,304,1796,329,1577,328,2530,430,2842,386,3983,439,3096,401,2159,271,659,196,753,183,358,123,251,146,997,245,985,213
310M100US10100,10100,"Aberdeen, SD Micro Area",20984,503,445,117,436,145,612,117,907,192,1925,242,3403,349,6108,428,1940,244,891,175,725,155,404,108,195,77,1257,194,1736,281
310M100US10140,10140,"Aberdeen, WA Micro Area",25501,722,1906,246,1559,307,1095,195,2220,260,2409,268,3074,347,3655,390,1806,288,1372,260,1672,268,628,188,356,138,1987,341,1762,288
310M100US10180,10180,"Abilene, TX Metro Area",71406,1343,2921,388,1587,252,3152,428,4384,495,7266,642,9695,719,13451,787,8622,689,2914,405,3554,428,1859,288,821,218,5232,498,5948,620
310M100US10220,10220,"Ada, OK Micro Area",17087,388,353,119,321,88,633,124,879,165,1797,241,2160,266,4593,394,1730,225,780,132,639,130,344,118,70,56,1356,195,1432,214
310M100US10260,10260,"Adjuntas, PR Micro Area",4468,334,244,110,154,72,145,87,786,177,803,169,1025,195,551,137,183,90,60,50,42,39,13,16,64,49,156,70,242,96
310M100US10300,10300,"Adrian, MI Micro Area",40766,789,1893,263,1824,266,2556,280,3250,283,3417,305,5351,411,5442,489,3253,362,2099,315,1772,230,1165,199,592,155,4326,392,3826,379
310M100US10380,10380,"Aguadilla-Isabela-San Sebastián, PR Metro Area",71459,1626,3594,381,2882,385,3719,380,6844,616,8538,621,14638,935,9393,708,5844,666,1780,361,3286,571,1219,336,1025,243,5173,502,3524,457
310M100US10420,10420,"Akron, OH Metro Area",318743,2447,10010,623,7844,693,13355,837,24605,1130,35906,1339,46340,1432,46103,1461,32418,1112,18679,882,17707,819,8986,757,4103,399,26935,1070,25752,1029
