GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Less than 5 minutes,Margin of Error; Total: - Less than 5 minutes,Estimate; Total: - 5 to 9 minutes,Margin of Error; Total: - 5 to 9 minutes,Estimate; Total: - 10 to 14 minutes,Margin of Error; Total: - 10 to 14 minutes,Estimate; Total: - 15 to 19 minutes,Margin of Error; Total: - 15 to 19 minutes,Estimate; Total: - 20 to 24 minutes,Margin of Error; Total: - 20 to 24 minutes,Estimate; Total: - 25 to 29 minutes,Margin of Error; Total: - 25 to 29 minutes,Estimate; Total: - 30 to 34 minutes,Margin of Error; Total: - 30 to 34 minutes,Estimate; Total: - 35 to 39 minutes,Margin of Error; Total: - 35 to 39 minutes,Estimate; Total: - 40 to 44 minutes,Margin of Error; Total: - 40 to 44 minutes,Estimate; Total: - 45 to 59 minutes,Margin of Error; Total: - 45 to 59 minutes,Estimate; Total: - 60 to 89 minutes,Margin of Error; Total: - 60 to 89 minutes,Estimate; Total: - 90 or more minutes,Margin of Error; Total: - 90 or more minutes
310M100US10020,10020,"Abbeville, LA Micro Area",23596,645,1450,239,2487,356,3110,404,2861,467,2700,382,1254,243,3977,426,470,145,765,191,2103,312,1269,252,1150,255
310M100US10100,10100,"Aberdeen, SD Micro Area",20984,503,1670,238,5865,536,6047,418,3312,411,1632,209,460,111,1075,170,126,48,131,43,232,62,245,81,189,85
310M100US10140,10140,"Aberdeen, WA Micro Area",25501,722,1759,271,4115,484,4042,404,3537,346,2409,276,1289,234,3116,340,350,106,960,232,1494,239,1518,282,912,165
310M100US10180,10180,"Abilene, TX Metro Area",71406,1343,4919,639,13381,711,17565,935,14988,955,8392,698,2368,381,4493,521,419,140,713,178,1799,352,1161,242,1208,231
310M100US10220,10220,"Ada, OK Micro Area",17087,388,821,177,3695,337,4198,360,3324,362,2304,250,411,117,929,154,198,79,144,65,299,86,369,137,395,108
310M100US10260,10260,"Adjuntas, PR Micro Area",4468,334,257,103,527,157,622,164,506,142,358,135,213,97,760,181,186,102,162,81,383,123,267,112,227,86
310M100US10300,10300,"Adrian, MI Micro Area",40766,789,2008,269,5901,477,6438,578,4771,421,4052,391,2325,301,3600,384,1399,179,1927,212,4370,368,2925,331,1050,170
310M100US10380,10380,"Aguadilla-Isabela-San Sebastián, PR Metro Area",71459,1626,3834,471,8819,685,11213,686,10912,685,9051,816,4212,536,7992,735,1865,349,2533,348,4877,599,3666,423,2485,364
310M100US10420,10420,"Akron, OH Metro Area",318743,2447,10713,847,33966,1351,50889,1651,53697,1491,51249,1568,23371,962,36118,1242,10090,569,12643,753,21846,975,10030,701,4131,452
310M100US10460,10460,"Alamogordo, NM Micro Area",24229,836,1581,311,3974,507,4270,506,4319,594,3868,470,1214,312,2198,385,240,104,261,113,911,233,837,241,556,177
310M100US10500,10500,"Albany, GA Metro Area",59489,1227,2003,302,6978,644,12066,692,12607,859,9968,656,3655,416,5675,493,1295,264,900,192,2217,322,1291,288,834,226
310M100US10540,10540,"Albany-Lebanon, OR Micro Area",45243,1039,2098,404,6878,612,8303,615,4961,527,6010,590,3728,438,5379,495,1208,242,1674,304,2747,366,1339,265,918,220
310M100US10580,10580,"Albany-Schenectady-Troy, NY Metro Area",412606,2765,12610,744,43305,1628,66492,1722,71609,1940,68564,1746,29264,1166,56324,1677,11887,782,14367,749,22023,952,10390,682,5771,543
310M100US10620,10620,"Albemarle, NC Micro Area",24667,622,963,233,3249,398,4140,446,3556,397,2716,287,1173,190,2096,337,702,160,920,155,2712,353,1986,276,454,145
310M100US10660,10660,"Albert Lea, MN Micro Area",14475,361,767,141,3208,274,3435,271,2189,210,1538,162,794,133,1029,130,197,53,354,92,382,98,338,83,244,55
310M100US10700,10700,"Albertville, AL Micro Area",35887,891,1435,227,5195,474,6596,568,5878,577,3684,460,1191,307,3440,399,1218,268,1031,209,3359,388,1936,315,924,306
310M100US10740,10740,"Albuquerque, NM Metro Area",380097,2776,9554,688,33246,1439,53617,1724,70984,1913,69637,1651,24942,1119,56789,1869,8423,797,11790,864,22346,1174,11943,838,6826,619
