geoID,geoID2,geography,simpleGeography,meanSunriseTime,q1,q2,q3
310M100US38200,38200,"Pierre Part, LA Micro Area","Pierre Part, LA",6:38,-76,24,91
310M100US22780,22780,"Fort Leonard Wood, MO Micro Area","Fort Leonard Wood, MO",6:41,-80,26,99
310M100US25980,25980,"Hinesville-Fort Stewart, GA Metro Area","Hinesville, GA",6:59,-84,9,79
310M100US22860,22860,"Fort Polk South, LA Micro Area","Fort Polk South, LA",6:46,-66,22,88
310M100US15780,15780,"Camden, AR Micro Area","Camden, AR",6:44,-57,27,83
310M100US17500,17500,"Clewiston, FL Micro Area","Clewiston, FL",6:57,-39,16,65
310M100US27340,27340,"Jacksonville, NC Metro Area","Jacksonville, NC",6:42,-28,33,106
310M100US48100,48100,"Wauchula, FL Micro Area","Wauchula, FL",7:00,-33,23,73
310M100US23940,23940,"Gillette, WY Micro Area","Gillette, WY",6:33,-53,43,105
310M100US42460,42460,"Scottsboro, AL Micro Area","Scottsboro, AL",6:17,-24,67,139
310M100US10260,10260,"Adjuntas, PR Micro Area","Adjuntas, PR",6:22,11,63,101
310M100US10760,10760,"Alexander City, AL Micro Area","Alexander City, AL",6:16,2,66,131
310M100US17620,17620,"Coamo, PR Micro Area","Coamo, PR",6:20,-5,65,124
310M100US29980,29980,"Lawrenceburg, TN Micro Area","Lawrenceburg, TN",6:22,0,59,118
310M100US37700,37700,"Pascagoula, MS Metro Area","Pascagoula, MS",6:27,-77,58,132
310M100US19760,19760,"DeRidder, LA Micro Area","DeRidder, LA",6:46,-73,41,95
310M100US11580,11580,"Arcadia, FL Micro Area","Arcadia, FL",7:00,-35,24,84
310M100US23980,23980,"Glasgow, KY Micro Area","Glasgow, KY",6:16,9,65,136
310M100US42180,42180,"Santa Isabel, PR Micro Area","Santa Isabel, PR",6:20,8,67,124
310M100US17300,17300,"Clarksville, TN-KY Metro Area","Clarksville, TN",6:22,-9,63,139
310M100US14220,14220,"Bogalusa, LA Micro Area","Bogalusa, LA",6:32,-20,55,123
310M100US32660,32660,"McMinnville, TN Micro Area","McMinnville, TN",6:15,6,69,140
310M100US43180,43180,"Shelbyville, TN Micro Area","Shelbyville, TN",6:18,-1,68,133
310M100US26020,26020,"Hobbs, NM Micro Area","Hobbs, NM",6:25,-17,54,115
310M100US22840,22840,"Fort Payne, AL Micro Area","Fort Payne, AL",6:15,-1,71,137
310M100US47780,47780,"Washington, IN Micro Area","Washington, IN",7:21,-66,2,65
310M100US13180,13180,"Beaver Dam, WI Micro Area","Beaver Dam, WI",6:27,-56,58,139
310M100US38100,38100,"Picayune, MS Micro Area","Picayune, MS",6:32,-53,60,116
