"Abbeville, LA Micro Area",1610,1796,1577,2530,2842,3983,3096,2159,659,753,358,251,997,985
"Aberdeen, SD Micro Area",445,436,612,907,1925,3403,6108,1940,891,725,404,195,1257,1736
"Aberdeen, WA Micro Area",1906,1559,1095,2220,2409,3074,3655,1806,1372,1672,628,356,1987,1762
"Abilene, TX Metro Area",2921,1587,3152,4384,7266,9695,13451,8622,2914,3554,1859,821,5232,5948
"Ada, OK Micro Area",353,321,633,879,1797,2160,4593,1730,780,639,344,70,1356,1432
"Adjuntas, PR Micro Area",244,154,145,786,803,1025,551,183,60,42,13,64,156,242
"Adrian, MI Micro Area",1893,1824,2556,3250,3417,5351,5442,3253,2099,1772,1165,592,4326,3826
"Aguadilla-Isabela-San Sebastián, PR Metro Area",3594,2882,3719,6844,8538,14638,9393,5844,1780,3286,1219,1025,5173,3524
"Akron, OH Metro Area",10010,7844,13355,24605,35906,46340,46103,32418,18679,17707,8986,4103,26935,25752
"Alamogordo, NM Micro Area",946,638,1500,2738,3669,3157,3901,2074,1021,949,400,268,1762,1206
"Albany, GA Metro Area",1823,1410,2431,5119,6405,9414,10239,6225,2400,2743,1397,714,3915,5254
"Albany-Lebanon, OR Micro Area",2748,2426,3467,3686,4722,6422,5608,3981,1983,1792,1075,554,3183,3596
"Albany-Schenectady-Troy, NY Metro Area",10488,8580,13401,29291,43372,61075,63351,56691,29168,24677,11402,5087,29606,26417
"Albemarle, NC Micro Area",1364,907,1336,3174,2813,3554,3401,2451,692,948,305,217,1837,1668
"Albert Lea, MN Micro Area",803,671,869,1103,1652,1826,2446,1013,448,469,212,128,1619,1216
"Albertville, AL Micro Area",2363,2089,2321,4457,4526,6110,3563,2005,703,1236,621,286,3166,2441
"Albuquerque, NM Metro Area",13561,10826,16734,33637,43146,59262,54146,38411,20546,24199,10505,4455,26225,24444
"Alexander City, AL Micro Area",1221,1180,1944,2742,2527,2751,2273,809,708,440,380,80,1127,1609
"Alexandria, LA Metro Area",3228,2462,4563,5145,8190,8482,8916,4390,2195,2161,1162,398,3737,4344
