"Wabash, IN",07:15
"Centralia, IL",06:28
"Spearfish, SD",06:27
"Rapid City, SD",06:24
"Kankakee, IL",06:23
"Seymour, IN",07:15
"Fort Wayne, IN",07:12
"Magnolia, AR",06:45
"Bend, OR",06:36
"Scottsbluff, NE",06:26
"Kodiak, AK",07:37
"Somerset, KY",07:11
"Tallulah, LA",06:37
"Glasgow, KY",06:16
"Morgan City, LA",06:38
"Meadville, PA",06:52
"Portsmouth, OH",07:04
"Poplar Bluff, MO",06:34
"Fallon, NV",06:27
"Jesup, GA",07:00
"Guymon, OK",07:18
"Grand Island, NE",07:05
"Anniston, AL",06:16
"Oshkosh, WI",06:25
"Scottsburg, IN",07:15
"Pittsfield, MA",06:24
"Great Falls, MT",06:56
"Clinton, IA",06:32
"Clearlake, CA",06:42
"Vermillion, SD",06:59
"McMinnville, TN",06:15
"Murray, KY",06:26
"Hilton Head Island, SC",06:56
"Reading, PA",06:36
"Parsons, KS",06:53
"Hastings, NE",07:05
"Easton, MD",06:36
"Moses Lake, WA",06:28
"South Bend, IN",07:16
"Pierre Part, LA",06:38
"Jamestown, NY",06:49
"Elmira, NY",06:39
"Spokane, WA",06:20
"New Philadelphia, OH",06:57
"Cumberland, MD",06:47
"Bellingham, WA",06:40
"Dodge City, KS",07:12
"Newberry, SC",06:59
"Bakersfield, CA",06:28
"Union City, TN",06:28
"Elk City, OK",07:10
"Bainbridge, GA",07:11
"Louisville/Jefferson County, KY",07:15
"Gainesville, FL",07:02
"Greenwood, SC",07:01
"Gloversville, NY",06:29
"Lufkin, TX",06:52
"Athens, GA",07:06
"Jamestown, ND",07:05
"Lawton, OK",07:06
"Laurel, MS",06:29
"Opelousas, LA",06:41
"St. Cloud, MN",06:48
"Worcester, MA",06:18
"Paris, TN",06:25
"Rochelle, IL",06:28
"North Port, FL",07:02
"Harrisonburg, VA",06:48
"Jasper, IN",07:20
"Lancaster, SC",06:56
"Kokomo, IN",07:16
"Decatur, AL",06:20
"Dothan, AL",06:14
"Greeley, CO",06:31
"Charleston, WV",06:59
"Portland, OR",06:42
"Andrews, TX",07:23
"Stockton, CA",06:37
"Danville, IL",06:22
"Huntsville, AL",06:19
"Worthington, MN",06:54
"Brookings, SD",06:58
"Lewiston, ID",06:19
"Palm Bay, FL",06:56
"Guayama, PR",06:19
"Weatherford, OK",07:07
"Fayetteville, NC",06:48
"Blacksburg, VA",06:54
"Sulphur Springs, TX",06:55
"Hattiesburg, MS",06:30
"Greenville, OH",07:10
"Ocean City, NJ",06:30
"Rockland, ME",06:08
"Canton, IL",06:32
"Memphis, TN",06:32
"Ketchikan, AK",06:15
"Calhoun, GA",07:12
"Jackson, MI",07:09
"Blackfoot, ID",07:01
"Laconia, NH",06:17
"Alexandria, LA",06:43
"Lansing, MI",07:10
"Emporia, KS",06:57
"Cortland, NY",06:36
"Kearney, NE",07:08
"London, KY",07:08
"Logan, UT",06:59
"Frankfort, KY",07:11
"El Campo, TX",06:58
"El Centro, CA",06:15
"Jackson, MS",06:33
"Elkhart, IN",07:15
"Chico, CA",06:39
"Aberdeen, SD",07:05
"Vicksburg, MS",06:36
"Harriman, TN",07:11
"Concord, NH",06:18
"Flagstaff, AZ",06:20
"Myrtle Beach, SC",06:48
"Virginia Beach, VA",06:37
"Tullahoma, TN",06:17
"La Crosse, WI",06:36
"Huron, SD",07:04
"Raymondville, TX",07:04
"The Dalles, OR",06:36
"Lebanon, MO",06:43
"Missoula, MT",07:07
"Columbus, OH",07:04
"Corinth, MS",06:26
"Dunn, NC",06:47
"Paragould, AR",06:34
"Crawfordsville, IN",07:19
"Bay City, MI",07:07
"Klamath Falls, OR",06:38
"Milledgeville, GA",07:06
"Bemidji, MN",06:50
"Bangor, ME",06:06
"Lincoln, NE",06:58
"Washington, DC",06:41
"Ontario, OR",07:19
"Hutchinson, KS",07:04
"Malone, NY",06:28
"Wheeling, WV",06:55
"Oak Harbor, WA",06:41
"Abbeville, LA",06:41
"Holland, MI",07:16
"San Francisco, CA",06:41
"Montgomery, AL",06:18
"Olean, NY",06:45
"Dickinson, ND",06:22
"Philadelphia, PA",06:33
"Pensacola, FL",06:22
"Snyder, TX",07:16
"Richmond, KY",07:09
"Thomasville, GA",07:09
"Atchison, KS",06:52
"Charlottesville, VA",06:46
"Cincinnati, OH",07:10
"Jackson, TN",06:28
"Tyler, TX",06:54
"Auburn, NY",06:38
"Fergus Falls, MN",06:55
"Utuado, PR",06:21
"Lake Havasu City, AZ",06:31
"Batavia, NY",06:44
"Rochester, MN",06:41
"Dubuque, IA",06:34
"Cheyenne, WY",06:31
"Brenham, TX",06:58
"Minot, ND",07:16
"Charleston, IL",06:25
"Kennewick, WA",06:28
"Beaver Dam, WI",06:27
"Raleigh, NC",06:47
"Harrisburg, IL",06:26
"Athens, TN",07:11
"East Liverpool, OH",06:54
"Bozeman, MT",06:55
"Rockingham, NC",06:51
"Athens, TX",06:56
"Ashtabula, OH",06:55
"Williston, ND",07:25
"Waterloo, IA",06:41
"San Angelo, TX",07:15
"Albemarle, NC",06:53
"Albany, NY",06:27
"Huntington, IN",07:14
"Bradford, PA",06:46
"Napa, CA",06:41
"St. Louis, MO",06:33
"Bucyrus, OH",07:04
"Humboldt, TN",06:28
"Deltona, FL",06:58
"Rolla, MO",06:39
"Santa Fe, NM",06:36
"Daphne, AL",06:24
"Battle Creek, MI",07:12
"Phoenix Lake, CA",06:33
"Fort Valley, GA",07:08
"Sturgis, MI",07:13
"Los Angeles, CA",06:25
"Marinette, WI",06:21
"Grand Rapids, MI",07:14
"Watertown, NY",06:34
"Birmingham, AL",06:20
"Columbia, MO",06:41
"Moberly, MO",06:42
"Beeville, TX",07:04
"Bedford, IN",07:18
"Sioux Falls, SD",06:58
"Madera, CA",06:32
"Chillicothe, OH",07:04
"Akron, OH",06:58
"Laurinburg, NC",06:50
"Taos, NM",06:35
"Sumter, SC",06:54
"Greenville, SC",07:02
"Angola, IN",07:12
"Atlantic City, NJ",06:30
"Corbin, KY",07:09
"Dublin, GA",07:04
"La Grande, OR",06:23
"Chicago, IL",06:23
"Hot Springs, AR",06:45
"Adrian, MI",07:08
"Jacksonville, FL",06:59
"Valdosta, GA",07:06
"Salinas, CA",06:39
"Selinsgrove, PA",06:39
"Boone, IA",06:47
"Coos Bay, OR",06:48
"Grenada, MS",06:32
"Grand Forks, ND",06:59
"Campbellsville, KY",07:13
"Marshalltown, IA",06:43
"Chester, SC",06:57
"Tulsa, OK",06:56
"Sterling, CO",06:25
"Bloomington, IN",07:18
"Tampa, FL",07:03
"Bloomington, IL",06:28
"Athens, OH",07:00
"Dover, DE",06:34
"Washington, NC",06:40
"LaGrange, GA",07:13
"Aberdeen, WA",06:46
"Brigham City, UT",07:00
"Racine, WI",06:23
"Crowley, LA",06:42
"Modesto, CA",06:36
"Altus, OK",07:10
"Kill Devil Hills, NC",06:35
"Bonham, TX",06:57
"Elizabethtown, KY",07:16
"Susanville, CA",06:34
"Greeneville, TN",07:03
"Newton, IA",06:44
"Waco, TX",07:01
"Lawrenceburg, TN",06:22
"Burley, ID",07:07
"Fayetteville, AR",06:49
"Jacksonville, TX",06:54
"Seneca Falls, NY",06:39
"Galesburg, IL",06:33
"Kansas City, MO",06:50
"Coeur d, ID",06:18
"Willmar, MN",06:51
"Bridgeport, CT",06:26
"Frankfort, IN",07:18
"Enterprise, AL",06:16
"Nogales, AZ",06:17
"Morristown, TN",07:06
"Gaffney, SC",06:59
"St. Marys, GA",06:59
"Homosassa Springs, FL",07:03
"Kerrville, TX",07:09
"Lumberton, NC",06:48
"Sikeston, MO",06:30
"Branson, MO",06:45
"Rexburg, ID",06:58
"Kennett, MO",06:32
"Terre Haute, IN",07:21
"Odessa, TX",07:22
"Iowa City, IA",06:38
"Mount Airy, NC",06:55
"Houston, TX",06:54
"Point Pleasant, WV",07:00
"Greenville, NC",06:42
"Lafayette, LA",06:41
"Springfield, IL",06:30
"Mayfield, KY",06:27
"Rome, GA",07:13
"Truckee, CA",06:33
"Meridian, MS",06:27
"Pine Bluff, AR",06:41
"Martin, TN",06:28
"Shreveport, LA",06:48
"Yakima, WA",06:33
"Waycross, GA",07:02
"Bennington, VT",06:24
"Culpeper, VA",06:44
"Visalia, CA",06:29
"Prineville, OR",06:34
"Oklahoma City, OK",07:02
"Forrest City, AR",06:36
"Fairmont, WV",06:52
"Muscatine, IA",06:36
"Yauco, PR",06:22
"Crestview, FL",06:19
"Del Rio, TX",07:16
"Rutland, VT",06:23
"Decatur, IN",07:11
"Natchez, MS",06:38
"Decatur, IL",06:28
"Fort Collins, CO",06:32
"Monroe, WI",06:30
"Montrose, CO",06:43
"Tahlequah, OK",06:52
"Butte, MT",07:01
"Corpus Christi, TX",07:03
"Kalispell, MT",07:08
"Billings, MT",06:45
"Picayune, MS",06:32
"Kalamazoo, MI",07:14
"Tiffin, OH",07:04
"Mount Sterling, KY",07:08
"Paris, TX",06:55
"Bastrop, LA",06:40
"McComb, MS",06:35
"Redding, CA",06:41
"Ocala, FL",07:01
"State College, PA",06:43
